performerId,name,shortName,type,performer_score,performer_popularity,homeVenueId,isEvent,divisionName,divisionShortName,taxonomyName,taxonomySubName,performer_popularity_level,has_home_venue
2089,Brooklyn Nets,Nets,nba,0.69,24246,7546.0,False,Eastern - Atlantic,Atlantic,sports,basketball,Medium,1
2097,Milwaukee Bucks,Bucks,nba,0.66,23935,435592.0,False,Eastern - Central,Central,sports,basketball,Medium,1
2100,Miami Heat,Heat,nba,0.69,16555,183.0,False,Eastern - Southeast,Southeast,sports,basketball,Medium,1
2104,Minnesota Timberwolves,Timberwolves,nba,0.69,1206,135.0,False,Western - Northwest,Northwest,sports,basketball,Low,1
2105,Oklahoma City Thunder,Thunder,nba,0.73,556,208.0,False,Western - Northwest,Northwest,sports,basketball,Low,1
2108,Golden State Warriors,Warriors,nba,0.71,38616,467029.0,False,Western - Pacific,Pacific,sports,basketball,Medium,1
2110,Los Angeles Lakers,Lakers,nba,0.76,14681,134.0,False,Western - Pacific,Pacific,sports,basketball,Medium,1
2112,Sacramento Kings,Kings,nba,0.65,23935,177304.0,False,Western - Pacific,Pacific,sports,basketball,Medium,1
2116,New Orleans Pelicans,Pelicans,nba,0.7,913,184.0,False,Western - Southwest,Southwest,sports,basketball,Low,1
2117,San Antonio Spurs,Spurs,nba,0.77,14681,185.0,False,Western - Southwest,Southwest,sports,basketball,Medium,1
23508,NBA Summer League,NBA Summer League,nba,0.58,20810,950.0,True,No Division,No Division,sports,basketball,Medium,1
684126,California Classic,California Classic,nba,0.55,38616,177304.0,True,No Division,No Division,sports,basketball,Medium,1
793993,Salt Lake City Summer League,Salt Lake City Summer League,nba,0.7,80005,188.0,True,No Division,No Division,sports,basketball,Medium,1
2136,Nashville Predators,Predators,nhl,0.65,1756,2195.0,False,Western - Central,Central,sports,hockey,Low,1
2142,Vancouver Canucks,Canucks,nhl,0.63,1354,2983.0,False,Western - Pacific,Pacific,sports,hockey,Low,1
2135,Detroit Red Wings,Red Wings,nhl,0.66,1295,420444.0,False,Eastern - Atlantic,Atlantic,sports,hockey,Low,1
2134,Columbus Blue Jackets,Blue Jackets,nhl,0.63,798,430.0,False,Eastern - Metropolitan,Metropolitan,sports,hockey,Low,1
2132,Washington Capitals,Capitals,nhl,0.68,3010,181.0,False,Eastern - Metropolitan,Metropolitan,sports,hockey,Medium,1
2131,Tampa Bay Lightning,Lightning,nhl,0.67,1268,182.0,False,Eastern - Atlantic,Atlantic,sports,hockey,Low,1
12521,NHL Winter Classic,NHL Winter Classic,nhl,0.83,17457,Unknown,True,No Division,No Division,sports,hockey,Medium,0
2130,Florida Panthers,Panthers,nhl,0.75,881,126.0,False,Eastern - Atlantic,Atlantic,sports,hockey,Low,1
2139,Colorado Avalanche,Avalanche,nhl,0.68,18607,187.0,False,Western - Central,Central,sports,hockey,Medium,1
2128,Winnipeg Jets,Jets,nhl,0.64,1507,98.0,False,Western - Central,Central,sports,hockey,Low,1
2125,Montreal Canadiens,Canadiens,nhl,0.68,947,139.0,False,Eastern - Atlantic,Atlantic,sports,hockey,Low,1
149285,NHL Draft,NHL Draft,nhl,0.55,9834,Unknown,True,No Division,No Division,sports,hockey,Medium,0
794055,Seattle Kraken,Kraken,nhl,0.64,1450,176.0,False,Western - Pacific,Pacific,sports,hockey,Low,1
2124,Buffalo Sabres,Sabres,nhl,0.66,1177,212.0,False,Eastern - Atlantic,Atlantic,sports,hockey,Low,1
627288,Vegas Golden Knights,Golden Knights,nhl,0.71,14606,161601.0,False,Western - Pacific,Pacific,sports,hockey,Medium,1
2123,Boston Bruins,Bruins,nhl,0.69,2811,1544.0,False,Eastern - Atlantic,Atlantic,sports,hockey,Low,1
304538,NHL Stadium Series,NHL Stadium Series,nhl,0.83,12708,Unknown,True,No Division,No Division,sports,hockey,Medium,0
260530,NHL Heritage Classic,NHL Heritage Classic,nhl,0.7,811,Unknown,True,No Division,No Division,sports,hockey,Low,0
2147,San Jose Sharks,Sharks,nhl,0.63,3825,157.0,False,Western - Pacific,Pacific,sports,hockey,Medium,1
811913,Utah Mammoth,Mammoth,nhl,0.75,18926,188.0,False,Western - Central,Central,sports,hockey,Medium,1
2145,Los Angeles Kings,Kings,nhl,0.64,1162,134.0,False,Western - Pacific,Pacific,sports,hockey,Low,1
2144,Dallas Stars,Stars,nhl,0.7,12708,117.0,False,Western - Central,Central,sports,hockey,Medium,1
2122,Pittsburgh Penguins,Penguins,nhl,0.67,898,2265.0,False,Eastern - Metropolitan,Metropolitan,sports,hockey,Low,1
2121,Philadelphia Flyers,Flyers,nhl,0.67,1964,3148.0,False,Eastern - Metropolitan,Metropolitan,sports,hockey,Low,1
2120,New York Rangers,Rangers,nhl,0.7,2091,93.0,False,Eastern - Metropolitan,Metropolitan,sports,hockey,Low,1
2119,New York Islanders,Islanders,nhl,0.64,1793,518722.0,False,Eastern - Metropolitan,Metropolitan,sports,hockey,Low,1
2118,New Jersey Devils,Devils,nhl,0.65,1776,1500.0,False,Eastern - Metropolitan,Metropolitan,sports,hockey,Low,1
2140,Edmonton Oilers,Oilers,nhl,0.71,841,75884.0,False,Western - Pacific,Pacific,sports,hockey,Low,1
2143,Anaheim Ducks,Ducks,nhl,0.64,1136,133.0,False,Western - Pacific,Pacific,sports,hockey,Low,1
2138,Calgary Flames,Flames,nhl,0.63,797,96.0,False,Western - Pacific,Pacific,sports,hockey,Low,1
2078,Washington Commanders,Commanders,nfl,0.86,564533,35.0,False,NFC East,NFC East,sports,football,Elite,1
2071,Houston Texans,Texans,nfl,0.81,277395,41.0,False,AFC South,AFC South,sports,football,High,1
809925,AT&T Stadium Self-Guided Rally Day Tour,AT&T Stadium Self-Guided Rally Day Tour,stadium_tours,0.43,10,Unknown,False,No Division,No Division,sports,football,Low,0
2067,Tampa Bay Buccaneers,Buccaneers,nfl,0.81,289750,39.0,False,NFC South,NFC South,sports,football,High,1
2068,Detroit Lions,Lions,nfl,0.82,311214,346.0,False,NFC North,NFC North,sports,football,High,1
2069,New Orleans Saints,Saints,nfl,0.84,444567,128.0,False,NFC South,NFC South,sports,football,High,1
