venueId,name,url,addressStreet,addressCity,addressState,addressCountry,addressPostalCode,timezone,latitude,longitude,capacity,venue_score,venue_popularity,metroCode,venue_popularity_level,capacity_level
177304,Golden 1 Center,https://seatgeek.com/venues/golden-1-center/tickets,500 David J Stern Walk,Sacramento,CA,US,95814,America/Los_Angeles,38.5161,-121.417,17608,0.83,120890,862,Medium,Medium
183,Kaseya Center,https://seatgeek.com/venues/kaseya-center/tickets,601 Biscayne Blvd,Miami,FL,US,33132,America/New_York,25.7812,-80.1879,20000,0.86,218780,528,High,Large
4255,Jon M. Huntsman Center,https://seatgeek.com/venues/jon-m-huntsman-center/tickets,1825 S Campus Dr,Salt Lake City,UT,US,84112,America/Denver,40.7621,-111.839,15000,0.69,80008,770,Medium,Medium
467029,Chase Center,https://seatgeek.com/venues/chase-center/tickets,1 Warriors Way,San Francisco,CA,US,94158,America/Los_Angeles,37.768,-122.388,18064,0.85,151572,807,High,Medium
85,BOK Center,https://seatgeek.com/venues/bok-center/tickets,200 South Denver,Tulsa,OK,US,74103,America/Chicago,36.1527,-95.9964,19199,0.78,43406,671,Medium,Medium
950,Thomas and Mack Center,https://seatgeek.com/venues/thomas-and-mack-center/tickets,4505 South Maryland,Las Vegas,NV,US,89154,America/Los_Angeles,36.1075,-115.144,19522,0.78,35594,839,Medium,Medium
464,Giant Center,https://seatgeek.com/venues/giant-center/tickets,550 Hersheypark Drive,Hershey,PA,US,17033,America/New_York,40.2864,-76.6691,10500,0.7,2879,566,Low,Small
1544,TD Garden,https://seatgeek.com/venues/td-garden/tickets,100 Legends Way,Boston,MA,US,02114,America/New_York,42.3653,-71.0618,19580,0.9,399726,506,High,Medium
96,Scotiabank Saddledome,https://seatgeek.com/venues/scotiabank-saddledome/tickets,555 Saddledome Rise SE,Calgary,AB,Canada,T2G 2W1,America/Edmonton,51.0382,-114.051,19289,0.71,9794,0,Low,Medium
430,Nationwide Arena,https://seatgeek.com/venues/nationwide-arena/tickets,200 West Nationwide Boulevard,Columbus,OH,US,43215,America/New_York,39.9694,-83.0064,19500,0.8,38028,535,Medium,Medium
420444,Little Caesars Arena,https://seatgeek.com/venues/little-caesars-arena/tickets,66 Sibley St,Detroit,MI,US,48201,America/Detroit,42.34,-83.0574,19515,0.86,117518,505,Medium,Medium
